pPos,695.9053,1.05,1216.483
l,Cheese,699.7451,0.6194272,1259.121
l,Water Bottle,589.6088,0.5588283,1603.489
l,Canned Food,732.3567,0.5491481,1219.131
l,Canned Food,618.2158,0.5275919,1628.525
l,Canned Food,648.5784,1.388157,1592.379
l,Canned Food,603.47,0.5220294,1596.277
l,Cheese,537.513,1.372092,1632.625
l,Water Bottle,677.7106,0.5429935,1251.028
l,Canned Food,618.1099,0.5168147,1620.564
l,Water Bottle,519.5903,0.5275924,1619.677
l,Canned Food,635.4029,0.6172152,1595.667
l,Water Bottle,539.6693,0.7881119,1620.179
l,Canned Food,601.2936,0.5281953,1628.864
l,Cheese,551.7138,0.4827025,1596.014
l,Canned Food,648.603,0.5491482,1592.557
l,Water Bottle,538.9555,0.5796469,1632.29
l,Water Bottle,717.6573,0.4978426,1249.753
l,Water Bottle,635.2838,0.5387573,1595.801
l,Water Bottle,551.3575,0.5232216,1604.264
l,Cheese,743.4577,1.304725,1208.27
l,Cheese,647.5702,0.5123087,1232.32
l,Canned Food,651.2547,0.5275921,1266.513
l,Water Bottle,519.5533,1.411277,1629.453
l,Cheese,651.6509,0.5280746,1258.823
l,Canned Food,465.5566,0.6211754,1530.924
l,Water Bottle,673.3182,0.4632082,1244.729
l,Canned Food,707.9229,0.4891329,1222.394
l,Cheese,641.9797,0.5779113,1630.245
l,Water Bottle,603.1366,0.5275924,1603.97
l,Canned Food,550.7292,0.5275922,1620.289
l,Canned Food,580.8601,0.4999653,1619.682
l,Water Bottle,519.6245,0.5275921,1627.771
l,Water Bottle,654.9579,0.5466956,1228.659
l,Water Bottle,1103.176,0.6007323,1120.172
l,Canned Food,603.2712,0.5275922,1604.217
l,Canned Food,538.1484,0.5279722,1595.857
l,Cheese,551.7084,0.5587308,1596.161
l,Cheese,589.6102,0.5352631,1603.637
l,Cheese,617.8884,0.5152907,1620.568
l,Cheese,580.8637,0.5294056,1619.963
l,Water Bottle,967.2677,0.5929079,1507.574
l,Canned Food,567.6035,0.559244,1620.179
l,Canned Food,725.4354,0.5428749,1212.685
l,Cheese,677.6744,0.4575426,1251.23
l,Cheese,648.5589,0.5351664,1594.202
l,Water Bottle,551.5081,0.5544351,1603.983
l,Canned Food,547.1911,0.5796466,1631.986
l,Canned Food,531.6705,0.5796465,1510.459
l,Water Bottle,731.1092,0.5981759,1218.22
l,Water Bottle,524.6529,0.5494136,1516.822
l,Cheese,680.0441,1.459603,1209.149
l,Water Bottle,567.8566,0.5400541,1627.797
l,Canned Food,699.5649,0.489309,1259.516
l,Cheese,472.6693,0.5496933,1524.511
l,Water Bottle,717.5482,0.4634013,1249.777
l,Water Bottle,635.2391,0.5376532,1595.516
l,Cheese,643.6116,1.221133,1618.057
l,Canned Food,618.3932,0.5275925,1628.518
l,Water Bottle,618.1788,1.410046,1629.895
l,Water Bottle,571.0803,0.5275921,1595.421
l,Cheese,478.5309,1.22044,1535.786
l,Canned Food,700.1008,0.4895684,1251.498
l,Cheese,603.5774,1.38762,1594.634
l,Water Bottle,524.6628,1.388422,1516.813
l,Canned Food,525.832,0.5796469,1515.534
l,Cheese,519.6011,1.372101,1629.289
l,Canned Food,968.7902,0.5783691,1499.791
l,Water Bottle,967.1588,0.6007323,1507.414
l,Canned Food,465.7585,0.5913203,1530.942
l,Cheese,725.3632,0.5096529,1212.379
l,Canned Food,1141.594,0.6007326,1429.689
l,Water Bottle,708.1401,0.4697173,1222.5
l,Water Bottle,968.8188,0.6292228,1499.602
l,Canned Food,1102.899,0.6007323,1120.281
l,Cheese,650.7563,0.5496929,1268.667
l,Cheese,551.8112,1.409273,1594.641
l,Water Bottle,581.1685,0.5275919,1627.68
l,Water Bottle,619.0521,0.5276321,1605.192
l,Water Bottle,525.5324,0.594898,1515.607
l,Cheese,654.8868,0.4959713,1228.538
l,Cheese,567.392,0.5670453,1620.005
l,Cheese,678.6418,0.5591974,1252.833
l,Canned Food,551.8564,1.377384,1594.485
l,Water Bottle,550.9804,0.5494126,1629.862
l,Canned Food,617.9216,0.4983346,1620.289
l,Water Bottle,618.8986,0.5258991,1605.346
l,Cheese,580.8544,0.5808041,1619.812
l,Water Bottle,717.6755,0.4633996,1249.587
l,Cheese,635.4198,0.4822375,1595.756
l,Water Bottle,1064.255,0.6007326,1310.359
l,Water Bottle,567.6563,0.5494126,1629.484
l,Cheese,538.4084,1.370702,1594.076
l,Canned Food,538.3259,0.5275615,1595.841
l,Water Bottle,651.2365,0.5275921,1266.774
l,Cheese,595.3965,0.7622504,1630.664
l,Water Bottle,708.0528,0.4645695,1222.212
l,Canned Food,519.763,0.5275921,1627.654
l,Water Bottle,1072.179,0.6150704,1311.319
l,Water Bottle,465.6613,0.5643618,1530.836
l,Canned Food,551.8743,0.5491482,1594.663
l,Cheese,677.7556,0.5374452,1251.354
l,Water Bottle,539.0743,0.5796469,1632.427
l,Canned Food,673.0442,0.4892364,1244.597
l,Water Bottle,649.866,0.6060099,1630.381
l,Cheese,1072.081,0.5746176,1311.167
l,Canned Food,567.7083,0.5046571,1627.857
l,Water Bottle,730.7158,0.52995,1218.125
l,Cheese,551.5716,0.5981063,1596.01
l,Canned Food,649.7968,0.5275787,1602.068
l,Water Bottle,654.7927,0.5472936,1228.584
l,Water Bottle,618.0704,0.537244,1620.242
l,Water Bottle,567.6706,1.41128,1629.663
l,Water Bottle,589.9694,1.388422,1594.156
l,Water Bottle,684.2524,0.462885,1217.855
l,Water Bottle,684.0559,0.4628951,1217.786
l,Canned Food,706.856,0.1112009,1212.948
l,Water Bottle,654.6335,0.5158933,1228.663
l,Water Bottle,648.592,1.388422,1592.546
l,Water Bottle,1147.017,0.6235754,1423.84
l,Canned Food,567.9,0.5212746,1628.172
l,Cheese,589.9111,0.548612,1594.167
l,Cheese,618.2378,1.370699,1630.051
l,Canned Food,640.409,1.399684,1630.405
l,Cheese,641.8798,0.5073915,1630.244
l,Cheese,472.6531,1.37394,1524.528
l,Water Bottle,700.1039,0.4632092,1251.188
l,Cheese,619.1039,0.5894247,1597.354
l,Canned Food,539.2173,0.5796469,1632.281
l,Water Bottle,680.2018,0.08332084,1209.316
l,Canned Food,525.7216,0.5578788,1515.63
l,Water Bottle,641.8715,0.6288115,1630.104
l,Cheese,680.1387,1.33573,1209.343
l,Cheese,538.1041,0.5274978,1603.83
l,Canned Food,524.799,1.388157,1516.716
l,Canned Food,518.8043,1.218631,1505.46
l,Cheese,721.709,0.5551692,1226.032
l,Canned Food,589.625,0.5430243,1595.771
l,Water Bottle,967.3204,0.6007323,1507.332
l,Cheese,601.4309,0.5276589,1628.57
l,Water Bottle,1097.918,0.6007326,1126.175
l,Cheese,567.6831,0.5166004,1628.158
l,Water Bottle,678.6688,1.100302,1252.859
l,Water Bottle,519.7714,0.5627478,1627.913
l,Water Bottle,619.044,0.530525,1605.291
l,Cheese,699.2639,1.368894,1260.844
l,Water Bottle,648.663,0.5099845,1593.892
l,Cheese,1147.135,0.5647494,1423.92
l,Water Bottle,684.1475,0.4637756,1218.023
l,Water Bottle,581.1151,1.388422,1629.292
l,Canned Food,707.7881,0.4892978,1222.199
l,Water Bottle,538.4572,1.410064,1594.236
l,Tin Can,591.7939,0.4927986,1631.501
l,Tin Can,627.0189,0.3312445,1592.856
l,Tin Can,626.2977,1.092334,1631.993
l,Tin Can,527.6326,1.092334,1631.521
l,Tin Can,581.9946,0.3312445,1591.538
l,Tin Can,575.7831,0.3312446,1631.597
l,Tin Can,624.4684,0.4927986,1592.999
l,Tin Can,559.1072,1.092334,1631.974
l,Tin Can,595.6606,0.3312445,1592.018
l,Tin Can,648.5875,0.4927986,1243.344
l,Tin Can,688.6252,0.4927986,1248.619
l,Tin Can,641.8051,1.092366,1618.314
l,Tin Can,637.7474,0.4927986,1591.404
l,Tin Can,628.8501,0.4927984,1632.102
l,Tin Can,516.1158,0.4927985,1507.917
l,Tin Can,560.7162,0.4927986,1591.169
l,Tin Can,608.8937,0.4927986,1592.836
l,Tin Can,724.0508,0.4927985,1228.264
l,Tin Can,687.794,0.1408711,1240.436
l,Tin Can,595.6606,1.092333,1592.018
l,Tin Can,530.4899,0.3312445,1591.621
l,Tin Can,538.2525,1.092366,1620.522
Doors
D,215426,True
D,215466,True
D,215574,True
D,215620,True
D,215716,True
D,215772,True
D,215928,True
D,215940,True
D,216294,True
D,216390,True
D,216496,True
D,216896,True
D,217020,True
D,217090,True
D,217260,True
D,217324,True
D,217336,True
D,217594,True
D,217698,True
D,217798,True
D,217894,True
D,217964,True
D,218028,True
D,218060,True
D,218348,True
D,218452,True
D,218490,True
D,218542,True
D,218854,True
D,218970,True
D,219152,True
D,219202,True
D,219256,True
D,219404,True
D,219498,True
D,219676,True
D,219702,True
D,219846,True
D,219932,True
D,220210,True
D,220632,True
D,220976,True
D,221072,True
D,221414,True
D,221594,True
D,221998,True
D,222128,True
D,222442,True
D,222510,True
D,222522,True
D,222812,True
D,222844,True
D,222980,True
D,223432,True
D,223478,True
D,223530,True
D,223632,True
D,223844,True
D,223892,True
D,223924,True
D,224066,True
D,224324,True
D,224676,True
D,224834,True
D,224904,True
D,224984,True
D,225434,True
D,225486,True
D,225664,True
D,226030,True
D,226490,True
D,226674,True
D,226686,True
D,226758,True
D,227230,True
D,227328,True
D,227530,True
D,227694,True
D,227772,True
D,228136,True
D,228250,True
D,228382,True
D,228498,True
D,228520,True
D,228602,True
D,228722,True
D,228858,True
D,228884,True
D,228896,True
D,228944,True
D,229000,True
D,229032,True
D,229044,True
D,229094,True
D,229190,True
D,229260,True
D,229314,True
D,229440,True
D,229546,True
D,230274,True
D,230794,True
D,230828,True
D,230936,True
D,230958,True
D,230980,True
D,231200,True
D,231666,True
D,231994,True
D,232014,True
D,232070,True
D,232116,True
D,232128,True
D,232198,True
D,232292,True
D,232350,True
D,232448,True
D,232624,True
D,232766,True
D,232912,True
D,232998,True
D,233040,True
D,233056,True
D,233326,True
D,233338,True
D,233420,True
D,233602,True
D,233832,True
D,233892,True
D,233930,True
D,234040,True
D,234070,True
D,234276,True
D,234412,True
D,234730,True
D,234748,True
D,234818,True
D,234916,True
D,235112,True
D,235322,True
D,235356,True
D,235532,True
D,235620,True
D,235666,True
D,236012,True
D,236260,True
D,236418,True
D,236502,True
D,236526,True
D,236538,True
D,236794,True
D,236912,True
D,237048,True
D,215884,True
D,216338,True
D,216538,True
D,216978,True
D,217130,True
D,217232,True
D,217756,True
D,217846,True
D,217986,True
D,218432,True
D,219016,True
D,219042,True
D,219170,True
D,220332,True
D,220380,True
D,220812,True
D,221170,True
D,221320,True
D,221484,True
D,222010,True
D,222412,True
D,222694,True
D,222898,True
D,223986,True
D,224288,True
D,224380,True
D,224612,True
D,224702,True
D,225002,True
D,225286,True
D,225414,True
D,226004,True
D,226062,True
D,226438,True
D,227154,True
D,228020,True
D,228158,True
D,228292,True
D,228360,True
D,228466,True
D,228622,True
D,229494,True
D,229818,True
D,229958,True
D,230428,True
D,231022,True
D,231092,True
D,231298,True
D,231404,True
D,231506,True
D,232170,True
D,232802,True
D,233400,True
D,233468,True
D,234480,True
D,234618,True
D,235182,True
D,235502,True
D,235710,True
D,236842,True
D,236982,True
Cars
C,Car(Clone),-307664,679.7119,0.6802219,1271.174,-4.868941E-06,0.006684404,7.352381E-06
